Duraciacion_del_viaje;Total;Año;Meses_num;Meses
De 8 a 15 noches;19.213.628,00;2016;12;diciembre
mas de 15 noches;5.362.319,00;2016;12;diciembre
Ninguna noche;37.357.461,00;2016;11;noviembre
1 noche;3.269.704,00;2016;11;noviembre
De 2 a 3 noches;11.419.230,00;2016;11;noviembre
De 4 a 7 noches;33.199.835,00;2016;11;noviembre
De 8 a 15 noches;18.486.656,00;2016;11;noviembre
mas de 15 noches;4.949.137,00;2016;11;noviembre
Ninguna noche;34.832.589,00;2016;10;octubre
1 noche;3.018.486,00;2016;10;octubre
De 2 a 3 noches;10.392.073,00;2016;10;octubre
De 4 a 7 noches;31.352.797,00;2016;10;octubre
De 8 a 15 noches;17.775.287,00;2016;10;octubre
mas de 15 noches;4.687.659,00;2016;10;octubre
Ninguna noche;31.731.364,00;2016;9;septiembre
1 noche;2.731.727,00;2016;9;septiembre
De 2 a 3 noches;9.113.734,00;2016;9;septiembre
De 4 a 7 noches;27.906.202,00;2016;9;septiembre
De 8 a 15 noches;16.080.402,00;2016;9;septiembre
mas de 15 noches;4.256.514,00;2016;9;septiembre
Ninguna noche;28.332.397,00;2016;8;agosto
1 noche;2.367.955,00;2016;8;agosto
De 2 a 3 noches;7.912.631,00;2016;8;agosto
De 4 a 7 noches;24.305.656,00;2016;8;agosto
De 8 a 15 noches;13.836.664,00;2016;8;agosto
mas de 15 noches;3.733.065,00;2016;8;agosto
Ninguna noche;22.594.141,00;2016;7;julio
1 noche;1.733.352,00;2016;7;julio
De 2 a 3 noches;6.929.895,00;2016;7;julio
De 4 a 7 noches;20.450.591,00;2016;7;julio
De 8 a 15 noches;10.272.976,00;2016;7;julio
mas de 15 noches;2.741.687,00;2016;7;julio
Ninguna noche;18.036.687,00;2016;6;junio
1 noche;1.335.947,00;2016;6;junio
De 2 a 3 noches;5.875.397,00;2016;6;junio
De 4 a 7 noches;16.160.647,00;2016;6;junio
De 8 a 15 noches;7.171.875,00;2016;6;junio
mas de 15 noches;2.038.843,00;2016;6;junio
Ninguna noche;14.706.481,00;2016;5;mayo
1 noche;1.039.079,00;2016;5;mayo
De 2 a 3 noches;4.730.032,00;2016;5;mayo
De 4 a 7 noches;12.537.883,00;2016;5;mayo
De 8 a 15 noches;5.143.864,00;2016;5;mayo
mas de 15 noches;1.579.093,00;2016;5;mayo
Ninguna noche;11.408.338,00;2016;4;abril
1 noche;787.876,00;2016;4;abril
De 2 a 3 noches;3.259.954,00;2016;4;abril
De 4 a 7 noches;8.997.200,00;2016;4;abril
De 8 a 15 noches;3.638.304,00;2016;4;abril
mas de 15 noches;1.235.462,00;2016;4;abril
Ninguna noche;8.240.214,00;2016;3;marzo
1 noche;540.131,00;2016;3;marzo
De 2 a 3 noches;2.155.353,00;2016;3;marzo
De 4 a 7 noches;5.820.142,00;2016;3;marzo
De 8 a 15 noches;2.373.193,00;2016;3;marzo
mas de 15 noches;943.650,00;2016;3;marzo
Ninguna noche;5.182.917,00;2016;2;febrero
1 noche;327.208,00;2016;2;febrero
De 2 a 3 noches;1.318.601,00;2016;2;febrero
De 4 a 7 noches;3.459.480,00;2016;2;febrero
De 8 a 15 noches;1.464.173,00;2016;2;febrero
mas de 15 noches;635.801,00;2016;2;febrero
Ninguna noche;2.606.782,00;2016;1;enero
1 noche;173.454,00;2016;1;enero
De 2 a 3 noches;613.686,00;2016;1;enero
De 4 a 7 noches;1.597.268,00;2016;1;enero
De 8 a 15 noches;782.868,00;2016;1;enero
mas de 15 noches;359.261,00;2016;1;enero
Ninguna noche;0;2015;12;diciembre
1 noche;0;2015;12;diciembre
De 2 a 3 noches;0;2015;12;diciembre
De 4 a 7 noches;0;2015;12;diciembre
De 8 a 15 noches;0;2015;12;diciembre
mas de 15 noches;0;2015;12;diciembre
Ninguna noche;0;2015;11;noviembre
1 noche;0;2015;11;noviembre
De 2 a 3 noches;0;2015;11;noviembre
De 4 a 7 noches;0;2015;11;noviembre
De 8 a 15 noches;0;2015;11;noviembre
mas de 15 noches;0;2015;11;noviembre
Ninguna noche;0;2015;10;octubre
1 noche;0;2015;10;octubre
De 2 a 3 noches;0;2015;10;octubre
De 4 a 7 noches;0;2015;10;octubre
De 8 a 15 noches;0;2015;10;octubre
mas de 15 noches;0;2015;10;octubre
